parent,child,mutual
mononuclear leukocyte,dendritic cell,0
mononuclear leukocyte,dendritic reticular cell,0
mononuclear leukocyte,dermal dendritic cell,0
mononuclear leukocyte,immature cd1a-positive dermal dendritic cell,0
mononuclear leukocyte,immature conventional dendritic cell,0
mononuclear leukocyte,immature dermal dendritic cell,0
mononuclear leukocyte,immature myeloid dendritic cell,0
mononuclear leukocyte,immature t cell,0
mononuclear leukocyte,lymphocyte,0
mononuclear leukocyte,lymphoid dendritic cell,0
mononuclear leukocyte,mature alpha-beta t cell,0
mononuclear leukocyte,mature alpha-beta t lymphocyte,0
mononuclear leukocyte,mature alpha-beta t-cell,0
mononuclear leukocyte,mature alpha-beta t-lymphocyte,0
mononuclear leukocyte,mature t-cell,0
mononuclear leukocyte,mdc,0
mononuclear leukocyte,myeloid dendritic cell,0
mononuclear leukocyte,pdc,0
mononuclear leukocyte,peripheral blood mononuclear cell,0
mononuclear leukocyte,plasmacytoid dendritic cell,0
mononuclear leukocyte,plasmacytoid monocyte,0
mononuclear leukocyte,plasmacytoid t cell,0
mononuclear leukocyte,t cell,0
mononuclear leukocyte,t lymphocyte,0
mononuclear leukocyte,t-associated plasma cell,0
mononuclear leukocyte,t-cell,0
mononuclear leukocyte,t-lymphocyte,0
mononuclear leukocyte,type 1 dc,0
mononuclear leukocyte,type 2 dc,0
mononuclear phagocyte,cd11b-positive dendritic cell,0
mononuclear phagocyte,cd11ccd123- dc,0
mononuclear phagocyte,cd141-positive myeloid dendritic cell,0
mononuclear phagocyte,cd1a dermal dc,0
mononuclear phagocyte,cd1a-positive dermal dendritic cell,0
mononuclear phagocyte,conventional dendritic cell,0
mononuclear phagocyte,dc1,0
mononuclear phagocyte,dc2,0
mononuclear phagocyte,dendritic cell,0
mononuclear phagocyte,dermal dendritic cell,0
mononuclear phagocyte,immature cd1a-positive dermal dendritic cell,0
mononuclear phagocyte,immature conventional dendritic cell,0
mononuclear phagocyte,immature dermal dendritic cell,0
mononuclear phagocyte,immature myeloid dendritic cell,0
mononuclear phagocyte,myeloid dendritic cell,0
mononuclear phagocyte,plasmacytoid dendritic cell,0
mononuclear phagocyte,plasmacytoid monocyte,0
mononuclear phagocyte,type 1 dc,0
mononuclear phagocyte,type 2 dc,0
motile cell,dendritic cell,0
motile cell,immune cell,0
motile cell,leucocyte,0
motile cell,leukocyte,0
motile cell,lymphocyte,0
motile cell,myeloid cell,0
motile cell,phagocyte,0
motile cell,t cell,0
motile cell,t lymphocyte,0
motile cell,t-cell,0
motile cell,t-lymphocyte,0
motile cell,wbc,0
motile cell,white blood cell,0
msc,angioblastic mesenchymal cell,0
msc,bmsc,0
msc,bone marrow stromal cells,0
msc,colony-forming unit-fibroblast,0
msc,marrow stromal cells,0
msc,mesenchymal stem cell,1
msc,mesenchymal stromal cell,1
msc,mesenchymal stromal cells,1
msc,stem cells mesenchymal,1
multi fate stem cell,multipotent cell,1
multi fate stem cell,multipotent stem cell,1
multi-fate stem cell,multipotent cell,1
multi-fate stem cell,multipotent stem cell,1
multifate stem cell,mesenchymal stem cell,0
multifate stem cell,neural stem cell,0
multifate stem cell,neuronal stem cell,0
multinucleate cell,binucleate cell,0
multinucleate cell,muscle fiber,0
multinucleate cell,polynuclear cells,0
multinucleated cells,binucleate cell,0
multinucleated cells,muscle fiber,0
multinucleated cells,polynuclear cells,0
multipotent cell,adult endothelial progenitor cell,0
multipotent cell,angioblastic mesenchymal cell,0
multipotent cell,bmsc,0
multipotent cell,bone marrow stromal cells,0
multipotent cell,cfu-f,0
multipotent cell,colony-forming unit-fibroblast,0
multipotent cell,epc,0
multipotent cell,hematopoietic cell,0
multipotent cell,mesenchymal precursor cell,0
multipotent cell,mesenchymal progenitor cells,0
multipotent cell,mesenchymal stem cell,0
multipotent cell,mesenchymal stromal cell,0
multipotent cell,mesenchymal stromal cells,0
multipotent cell,msc,0
multipotent cell,multi fate stem cell,1
multipotent cell,multi-fate stem cell,1
multipotent cell,multifate stem cell,0
multipotent cell,multipotent stem cell,0
multipotent cell,nephrogenic mesenchyme stem cell,0
multipotent cell,neural stem cell,0
multipotent cell,neuronal stem cell,0
multipotent cell,nsc,0
multipotent cell,stem cell,1
multipotent cell,stem cells mesenchymal,0
multipotent stem cell,angioblastic mesenchymal cell,0
multipotent stem cell,bmsc,0
multipotent stem cell,cfu-f,0
multipotent stem cell,colony-forming unit-fibroblast,0
multipotent stem cell,hematopoietic cell,0
multipotent stem cell,mesenchymal stem cell,0
multipotent stem cell,mesenchymal stromal cell,0
multipotent stem cell,mesenchymal stromal cells,0
multipotent stem cell,msc,0
multipotent stem cell,multi fate stem cell,1
multipotent stem cell,multi-fate stem cell,1
multipotent stem cell,multifate stem cell,0
multipotent stem cell,nephrogenic mesenchyme stem cell,0
multipotent stem cell,neural stem cell,0
multipotent stem cell,neuronal stem cell,0
multipotent stem cell,stem cells mesenchymal,0
muscle cell,muscle fiber,0
muscle cell,myocyte,0
muscle cell,myocytes smooth muscle,0
muscle cell,smooth muscle cell,0
muscle cell,smooth muscle cell of bladder,0
muscle cell,smooth muscle fiber,0
muscle cell,visceral muscle cell,0
muscle fiber,smooth muscle fiber,0
myeloid cell,cd11b-positive dendritic cell,0
myeloid cell,cd11ccd123- dc,0
myeloid cell,cd141-positive myeloid dendritic cell,0
myeloid cell,cd1a dermal dc,0
myeloid cell,cd1a-positive dermal dendritic cell,0
myeloid cell,cdc,0
myeloid cell,conventional dendritic cell,0
myeloid cell,dc1,0
myeloid cell,dc2,0
myeloid cell,dendritic cell,0
myeloid cell,dermal dendritic cell,0
myeloid cell,immature cd1a-positive dermal dendritic cell,0
myeloid cell,immature conventional dendritic cell,0
myeloid cell,immature dermal dendritic cell,0
myeloid cell,immature myeloid dendritic cell,0
myeloid cell,mdc,0
myeloid cell,mononuclear phagocyte,0
myeloid cell,myeloid dendritic cell,0
myeloid cell,myeloid leukocyte,0
myeloid cell,pdc,0
myeloid cell,plasmacytoid dendritic cell,0
myeloid cell,plasmacytoid monocyte,0
myeloid cell,type 1 dc,0
myeloid cell,type 2 dc,0
myeloid dendritic cell,cd11b-positive dendritic cell,0
myeloid dendritic cell,cd141-positive myeloid dendritic cell,0
myeloid dendritic cell,cd1a dermal dc,0
myeloid dendritic cell,cd1a-positive dermal dendritic cell,0
myeloid dendritic cell,conventional dendritic cell,1
myeloid dendritic cell,dc1,0
myeloid dendritic cell,dc2,0
myeloid dendritic cell,dermal dendritic cell,0
myeloid dendritic cell,immature cd1a-positive dermal dendritic cell,0
myeloid dendritic cell,immature dermal dendritic cell,0
myeloid dendritic cell,immature myeloid dendritic cell,0
myeloid dendritic cell,mdc,1
myeloid dendritic cell,type 1 dc,0
myeloid dendritic cell,type 2 dc,0
myeloid leukocyte,cd141-positive myeloid dendritic cell,0
myeloid leukocyte,conventional dendritic cell,0
myeloid leukocyte,dendritic cell,0
myeloid leukocyte,immature conventional dendritic cell,0
myeloid leukocyte,immature myeloid dendritic cell,0
myeloid leukocyte,mdc,0
myeloid leukocyte,myeloid dendritic cell,0
myeloid leukocyte,plasmacytoid monocyte,0
myocyte,muscle fiber,0
myocyte,myocytes smooth muscle,0
myocyte,smooth muscle cell,0
myocyte,smooth muscle cell of bladder,0
myocyte,smooth muscle fiber,0
myocyte,visceral muscle cell,0
myocytes smooth muscle,smcs,0
myocytes smooth muscle,smooth muscle cell of bladder,0
nephrocyte,garland cell,0
nephrocyte,garland nephrocyte,0
nerve cell,afferent neuron,0
nerve cell,central nervous system neuron,0
nerve cell,cerebral cortex neuron,0
nerve cell,cone retinal bipolar cell,0
nerve cell,cortical neuron,0
nerve cell,db3 cone bipolar cell,0
nerve cell,forebrain neuron,0
nerve cell,geniculate ganglion vglut2 neuron,0
nerve cell,glutamatergic neuron,0
nerve cell,input neuron,0
nerve cell,intratelencephalic-projecting glutamatergic cortical neuron,0
nerve cell,it neuron,0
nerve cell,l23-6 intratelencephalic projecting glutamatergic neuron,0
nerve cell,l23-6 it projecting neuron,0
nerve cell,l6 intratelencephalic projecting glutamatergic neuron,0
nerve cell,l6 it,0
nerve cell,neuron,0
nerve cell,neuron of cerebral cortex,0
nerve cell,neuron of the forebrain,0
nerve cell,retinal bipolar neuron,0
nerve cell,sensory neuron,0
nerve cell,type 4 cone bipolar cell sensu mus,0
nerve cell,visual system neuron,0
neural cell,afferent neuron,0
neural cell,central nervous system neuron,0
neural cell,cerebral cortex neuron,0
neural cell,cone retinal bipolar cell,0
neural cell,cortical neuron,0
neural cell,db3 cone bipolar cell,0
neural cell,forebrain neuron,0
neural cell,geniculate ganglion vglut2 neuron,0
neural cell,glutamatergic neuron,0
neural cell,input neuron,0
neural cell,intratelencephalic-projecting glutamatergic cortical neuron,0
neural cell,it neuron,0
neural cell,l23-6 intratelencephalic projecting glutamatergic neuron,0
neural cell,l23-6 it projecting neuron,0
neural cell,l6 intratelencephalic projecting glutamatergic neuron,0
neural cell,l6 it,0
neural cell,nerve cell,0
neural cell,neural stem cell,0
neural cell,neuron,0
neural cell,neuron of cerebral cortex,0
neural cell,neuron of the forebrain,0
neural cell,neuronal stem cell,0
neural cell,nsc,0
neural cell,retinal bipolar neuron,0
neural cell,retinal cell,0
neural cell,sensory neuron,0
neural cell,type 4 cone bipolar cell sensu mus,0
neural cell,visual system neuron,0
neural stem cell,neuronal stem cell,0
neural stem cell,nsc,0
neuron,afferent neuron,0
neuron,central nervous system neuron,0
neuron,cerebral cortex neuron,0
neuron,cone retinal bipolar cell,0
neuron,cortical neuron,0
neuron,db3 cone bipolar cell,0
neuron,forebrain neuron,0
neuron,geniculate ganglion vglut2 neuron,0
neuron,glutamatergic neuron,0
neuron,input neuron,0
neuron,intratelencephalic-projecting glutamatergic cortical neuron,0
neuron,it neuron,0
neuron,l23-6 intratelencephalic projecting glutamatergic neuron,0
neuron,l23-6 it projecting neuron,0
neuron,l6 intratelencephalic projecting glutamatergic neuron,0
neuron,l6 it,0
neuron,neuron of cerebral cortex,0
neuron,neuron of the forebrain,0
neuron,retinal bipolar neuron,0
neuron,sensory neuron,0
neuron,type 4 cone bipolar cell sensu mus,0
neuron,visual system neuron,0
neuron of cerebral cortex,cerebral cortex neuron,1
neuron of cerebral cortex,intratelencephalic-projecting glutamatergic cortical neuron,0
neuron of cerebral cortex,it neuron,0
neuron of cerebral cortex,l23-6 intratelencephalic projecting glutamatergic neuron,0
neuron of cerebral cortex,l23-6 it projecting neuron,0
neuron of cerebral cortex,l6 intratelencephalic projecting glutamatergic neuron,0
neuron of cerebral cortex,l6 it,0
neuron of the forebrain,cerebral cortex neuron,0
neuron of the forebrain,cortical neuron,0
neuron of the forebrain,forebrain neuron,1
neuron of the forebrain,intratelencephalic-projecting glutamatergic cortical neuron,0
neuron of the forebrain,it neuron,0
neuron of the forebrain,l23-6 intratelencephalic projecting glutamatergic neuron,0
neuron of the forebrain,l23-6 it projecting neuron,0
neuron of the forebrain,l6 intratelencephalic projecting glutamatergic neuron,0
neuron of the forebrain,l6 it,0
neuron of the forebrain,neuron of cerebral cortex,0
neuronal stem cell,nsc,1
nsc,neuronal stem cell,1
nucleate cell,adult endothelial progenitor cell,0
nucleate cell,afferent neuron,0
nucleate cell,alpha-beta t cell,0
nucleate cell,alpha-beta t lymphocyte,0
nucleate cell,alpha-beta t-cell,0
nucleate cell,alpha-beta t-lymphocyte,0
nucleate cell,angioblast,0
nucleate cell,angioblastic mesenchymal cell,0
nucleate cell,animal stem cell,0
nucleate cell,apc,0
nucleate cell,bc,0
nucleate cell,bcs,0
nucleate cell,binucleate cell,0
nucleate cell,bladder cell,0
nucleate cell,bmsc,0
nucleate cell,bone marrow stromal cells,0
nucleate cell,bps,0
nucleate cell,cd11b-positive dendritic cell,0
nucleate cell,cd11ccd123- dc,0
nucleate cell,cd141-positive myeloid dendritic cell,0
nucleate cell,cd1a dermal dc,0
nucleate cell,cd1a-positive dermal dendritic cell,0
nucleate cell,cd3e-positive t cell,0
nucleate cell,cd3epsilon t cell,0
nucleate cell,cdc,0
nucleate cell,cell of epidermis,0
nucleate cell,central nervous system neuron,0
nucleate cell,cerebral cortex neuron,0
nucleate cell,cfu-f,0
nucleate cell,chondroplast,0
nucleate cell,choroidal cell of the eye,0
nucleate cell,circulating angiogenic cell,0
nucleate cell,colony-forming unit-fibroblast,0
nucleate cell,cone retinal bipolar cell,0
nucleate cell,connective tissue cell,0
nucleate cell,contractile cell,0
nucleate cell,conventional dendritic cell,0
nucleate cell,corneal epithelial cell,0
nucleate cell,cortical neuron,0
nucleate cell,db3 cone bipolar cell,0
nucleate cell,dc1,0
nucleate cell,dc2,0
nucleate cell,dendritic cell,0
nucleate cell,dendritic reticular cell,0
nucleate cell,dermal dendritic cell,0
nucleate cell,ecto-epithelial cell,0
nucleate cell,electrically active cell,0
nucleate cell,electrically responsive cell,0
nucleate cell,electrically signaling cell,0
nucleate cell,endo-epithelial cell,0
nucleate cell,endometrial glandular epithelial cell,0
nucleate cell,epc,0
nucleate cell,epidermal cell,0
nucleate cell,epidermal keratinocyte,0
nucleate cell,epithelial cell,0
nucleate cell,epithelial cell of alimentary canal,0
nucleate cell,epithelial cell of cornea,0
nucleate cell,epithelial cell of endometrial gland,0
nucleate cell,epithelial cell of esophagus,0
nucleate cell,epithelial cell of skin,0
nucleate cell,epithelial cell of stomach,0
nucleate cell,epithelial cell of stratum corneum of esophageal epithelium,0
nucleate cell,epithelial cell of uterus,0
nucleate cell,epithelial mesenchymal cell,0
nucleate cell,epitheliocyte,0
nucleate cell,excretory cell,0
nucleate cell,forebrain neuron,0
nucleate cell,garland cell,0
nucleate cell,garland nephrocyte,0
nucleate cell,general ecto-epithelial cell,0
nucleate cell,geniculate ganglion vglut2 neuron,0
nucleate cell,germ cell,0
nucleate cell,germ line cell,0
nucleate cell,glandular epithelial cell of endometrium,0
nucleate cell,glutamatergic neuron,0
nucleate cell,haematopoietic cell,0
nucleate cell,haemopoietic cell,0
nucleate cell,hair follicle cell,0
nucleate cell,hair follicular keratinocyte,0
nucleate cell,hematopoietic cell,0
nucleate cell,hemopoietic cell,0
nucleate cell,immature cd1a-positive dermal dendritic cell,0
nucleate cell,immature conventional dendritic cell,0
nucleate cell,immature dermal dendritic cell,0
nucleate cell,immature myeloid dendritic cell,0
nucleate cell,immature t cell,0
nucleate cell,immune cell,0
nucleate cell,input neuron,0
nucleate cell,interferon-producing cell,0
nucleate cell,intratelencephalic-projecting glutamatergic cortical neuron,0
nucleate cell,ipc,0
nucleate cell,it neuron,0
nucleate cell,keratin accumulating cell,0
nucleate cell,keratincyte of epidermis,0
nucleate cell,keratinizing barrier epithelial cell,0
nucleate cell,keratinocyte,0
nucleate cell,l23-6 intratelencephalic projecting glutamatergic neuron,0
nucleate cell,l23-6 it projecting neuron,0
nucleate cell,l6 intratelencephalic projecting glutamatergic neuron,0
nucleate cell,l6 it,0
nucleate cell,leucocyte,0
nucleate cell,leukocyte,0
nucleate cell,lower urinary tract cell,0
nucleate cell,lymphocyte,0
nucleate cell,lymphoid dendritic cell,0
nucleate cell,male germ cell,0
nucleate cell,marrow stromal cells,0
nucleate cell,mature alpha-beta t cell,0
nucleate cell,mature alpha-beta t lymphocyte,0
nucleate cell,mature alpha-beta t-cell,0
nucleate cell,mature alpha-beta t-lymphocyte,0
nucleate cell,mature t-cell,0
nucleate cell,mdc,0
nucleate cell,mesenchymal precursor cell,0
nucleate cell,mesenchymal progenitor cells,0
nucleate cell,mesenchymal stem cell,0
nucleate cell,mesenchymal stromal cell,0
nucleate cell,mesenchymal stromal cells,0
nucleate cell,meso-epithelial cell,0
nucleate cell,mitogenic signaling cell,0
nucleate cell,mononuclear cell,0
nucleate cell,mononuclear leukocyte,0
nucleate cell,mononuclear phagocyte,0
nucleate cell,motile cell,0
nucleate cell,msc,0
nucleate cell,multi fate stem cell,0
nucleate cell,multi-fate stem cell,0
nucleate cell,multifate stem cell,0
nucleate cell,multinucleate cell,0
nucleate cell,multinucleated cells,0
nucleate cell,multipotent cell,0
nucleate cell,multipotent stem cell,0
nucleate cell,muscle cell,0
nucleate cell,muscle fiber,0
nucleate cell,myeloid cell,0
nucleate cell,myeloid dendritic cell,0
nucleate cell,myeloid leukocyte,0
nucleate cell,myocyte,0
nucleate cell,myocytes smooth muscle,0
nucleate cell,nematoblast,0
nucleate cell,nephrocyte,0
nucleate cell,nephrogenic mesenchyme stem cell,0
nucleate cell,nerve cell,0
nucleate cell,neural cell,0
nucleate cell,neural stem cell,0
nucleate cell,neuron,0
nucleate cell,neuron of cerebral cortex,0
nucleate cell,neuron of the forebrain,0
nucleate cell,neuronal stem cell,0
nucleate cell,nonkeratinized cell of stratum corneum of esophageal epithelium,0
nucleate cell,nsc,0
nucleate cell,pdc,0
nucleate cell,peripheral blood mononuclear cell,0
nucleate cell,phagocyte,0
nucleate cell,phagocyte sensu nematoda and protostomia,0
nucleate cell,phagocyte sensu vertebrata,0
nucleate cell,plasmacytoid dendritic cell,0
nucleate cell,plasmacytoid monocyte,0
nucleate cell,plasmacytoid t cell,0
nucleate cell,polynuclear cells,0
nucleate cell,precursor cell,0
nucleate cell,professional antigen presenting cell,0
nucleate cell,progenitor cell,0
nucleate cell,renal filtration cell,0
nucleate cell,retinal bipolar neuron,0
nucleate cell,retinal cell,0
nucleate cell,secretory cell,0
nucleate cell,sensory neuron,0
nucleate cell,single nucleate cell,0
nucleate cell,skin keratinocyte,0
nucleate cell,smcs,0
nucleate cell,smooth muscle cell,0
nucleate cell,smooth muscle cell of bladder,0
nucleate cell,smooth muscle fiber,0
nucleate cell,spermatid,0
nucleate cell,squamous epithelial cell,0
nucleate cell,stem cell,0
nucleate cell,stem cells mesenchymal,0
nucleate cell,stratified epithelial cell,0
nucleate cell,stuff accumulating cell,0
nucleate cell,t cell,0
nucleate cell,t lymphocyte,0
nucleate cell,t-associated plasma cell,0
nucleate cell,t-cell,0
nucleate cell,t-lymphocyte,0
nucleate cell,tip cell,0
nucleate cell,type 1 dc,0
nucleate cell,type 2 dc,0
nucleate cell,type 4 cone bipolar cell sensu mus,0
nucleate cell,visceral muscle cell,0
nucleate cell,visual system neuron,0
nucleate cell,wbc,0
nucleate cell,white blood cell,0
pdc,plasmacytoid dendritic cell,1
peripheral blood mononuclear cell,alpha-beta t cell,0
peripheral blood mononuclear cell,alpha-beta t lymphocyte,0
peripheral blood mononuclear cell,alpha-beta t-cell,0
peripheral blood mononuclear cell,alpha-beta t-lymphocyte,0
peripheral blood mononuclear cell,cd11b-positive dendritic cell,0
peripheral blood mononuclear cell,cd11ccd123- dc,0
peripheral blood mononuclear cell,cd141-positive myeloid dendritic cell,0
peripheral blood mononuclear cell,cd3e-positive t cell,0
peripheral blood mononuclear cell,cd3epsilon t cell,0
peripheral blood mononuclear cell,conventional dendritic cell,0
peripheral blood mononuclear cell,dc1,0
peripheral blood mononuclear cell,dc2,0
peripheral blood mononuclear cell,dendritic cell,0
peripheral blood mononuclear cell,immature conventional dendritic cell,0
peripheral blood mononuclear cell,immature myeloid dendritic cell,0
peripheral blood mononuclear cell,immature t cell,0
peripheral blood mononuclear cell,mature alpha-beta t cell,0
peripheral blood mononuclear cell,mature alpha-beta t lymphocyte,0
peripheral blood mononuclear cell,mature alpha-beta t-cell,0
peripheral blood mononuclear cell,mature alpha-beta t-lymphocyte,0
peripheral blood mononuclear cell,mature t-cell,0
peripheral blood mononuclear cell,mdc,0
peripheral blood mononuclear cell,myeloid dendritic cell,0
peripheral blood mononuclear cell,plasmacytoid dendritic cell,0
peripheral blood mononuclear cell,t cell,0
peripheral blood mononuclear cell,t lymphocyte,0
peripheral blood mononuclear cell,t-cell,0
peripheral blood mononuclear cell,t-lymphocyte,0
peripheral blood mononuclear cell,type 1 dc,0
peripheral blood mononuclear cell,type 2 dc,0
phagocyte,apc,0
phagocyte,cd11b-positive dendritic cell,0
phagocyte,cd11ccd123- dc,0
phagocyte,cd141-positive myeloid dendritic cell,0
phagocyte,cd1a dermal dc,0
phagocyte,cd1a-positive dermal dendritic cell,0
phagocyte,conventional dendritic cell,0
phagocyte,dc1,0
phagocyte,dc2,0
phagocyte,dendritic cell,0
phagocyte,dermal dendritic cell,0
phagocyte,immature cd1a-positive dermal dendritic cell,0
phagocyte,immature conventional dendritic cell,0
phagocyte,immature dermal dendritic cell,0
phagocyte,immature myeloid dendritic cell,0
phagocyte,lymphoid dendritic cell,0
phagocyte,mdc,0
phagocyte,mononuclear phagocyte,0
phagocyte,myeloid dendritic cell,0
phagocyte,phagocyte sensu nematoda and protostomia,0
phagocyte,phagocyte sensu vertebrata,0
phagocyte,plasmacytoid dendritic cell,0
phagocyte,type 1 dc,0
phagocyte,type 2 dc,0
phagocyte sensu vertebrata,cd11b-positive dendritic cell,0
phagocyte sensu vertebrata,cd141-positive myeloid dendritic cell,0
phagocyte sensu vertebrata,cd1a-positive dermal dendritic cell,0
phagocyte sensu vertebrata,conventional dendritic cell,0
phagocyte sensu vertebrata,dc1,0
phagocyte sensu vertebrata,dc2,0
phagocyte sensu vertebrata,dendritic cell,0
phagocyte sensu vertebrata,dermal dendritic cell,0
phagocyte sensu vertebrata,immature conventional dendritic cell,0
phagocyte sensu vertebrata,mdc,0
phagocyte sensu vertebrata,mononuclear phagocyte,0
phagocyte sensu vertebrata,myeloid dendritic cell,0
phagocyte sensu vertebrata,plasmacytoid dendritic cell,0
phagocyte sensu vertebrata,type 1 dc,0
phagocyte sensu vertebrata,type 2 dc,0
plasmacytoid dendritic cell,cd11ccd123- dc,0
plasmacytoid dendritic cell,pdc,1
polynuclear cells,binucleate cell,0
precursor cell,adult endothelial progenitor cell,0
precursor cell,angioblast,0
precursor cell,angioblastic mesenchymal cell,0
precursor cell,cfu-f,0
precursor cell,colony-forming unit-fibroblast,0
precursor cell,epc,0
precursor cell,immature cd1a-positive dermal dendritic cell,0
precursor cell,immature conventional dendritic cell,0
precursor cell,immature dermal dendritic cell,0
precursor cell,immature myeloid dendritic cell,0
precursor cell,immature t cell,0
precursor cell,mesenchymal precursor cell,0
precursor cell,mesenchymal progenitor cells,0
precursor cell,mesenchymal stem cell,0
precursor cell,nephrogenic mesenchyme stem cell,0
precursor cell,neural stem cell,0
precursor cell,neuronal stem cell,0
precursor cell,progenitor cell,0
precursor cell,stem cell,0
precursor cell,stem cells mesenchymal,0
professional antigen presenting cell,cd11b-positive dendritic cell,0
professional antigen presenting cell,cd11ccd123- dc,0
professional antigen presenting cell,cd141-positive myeloid dendritic cell,0
professional antigen presenting cell,cd1a dermal dc,0
professional antigen presenting cell,cd1a-positive dermal dendritic cell,0
professional antigen presenting cell,cdc,0
professional antigen presenting cell,conventional dendritic cell,0
professional antigen presenting cell,dc1,0
professional antigen presenting cell,dc2,0
professional antigen presenting cell,dendritic cell,0
professional antigen presenting cell,dermal dendritic cell,0
professional antigen presenting cell,immature cd1a-positive dermal dendritic cell,0
professional antigen presenting cell,immature conventional dendritic cell,0
professional antigen presenting cell,immature dermal dendritic cell,0
professional antigen presenting cell,immature myeloid dendritic cell,0
professional antigen presenting cell,lymphoid dendritic cell,0
professional antigen presenting cell,mdc,0
professional antigen presenting cell,myeloid dendritic cell,0
professional antigen presenting cell,pdc,0
professional antigen presenting cell,plasmacytoid dendritic cell,0
professional antigen presenting cell,type 1 dc,0
professional antigen presenting cell,type 2 dc,0
progenitor cell,adult endothelial progenitor cell,0
progenitor cell,angioblast,0
progenitor cell,angioblastic mesenchymal cell,0
progenitor cell,apc,0
progenitor cell,circulating angiogenic cell,0
progenitor cell,colony-forming unit-fibroblast,0
progenitor cell,epc,0
progenitor cell,immature t cell,0
progenitor cell,mesenchymal precursor cell,0
progenitor cell,mesenchymal progenitor cells,0
progenitor cell,mesenchymal stem cell,0
progenitor cell,neural stem cell,0
progenitor cell,neuronal stem cell,0
progenitor cell,stem cell,0
progenitor cell,stem cells mesenchymal,0
renal filtration cell,garland nephrocyte,0
renal filtration cell,nephrocyte,0
retinal bipolar neuron,cone retinal bipolar cell,0
retinal bipolar neuron,db3 cone bipolar cell,0
retinal bipolar neuron,type 4 cone bipolar cell sensu mus,0
retinal cell,choroidal cell of the eye,0
retinal cell,cone retinal bipolar cell,0
retinal cell,db3 cone bipolar cell,0
retinal cell,retinal bipolar neuron,0
retinal cell,type 4 cone bipolar cell sensu mus,0
secretory cell,endometrial glandular epithelial cell,0
secretory cell,epithelial cell of endometrial gland,0
secretory cell,excretory cell,0
secretory cell,glandular epithelial cell of endometrium,0
secretory cell,nematoblast,0
sensory neuron,afferent neuron,1
sensory neuron,geniculate ganglion vglut2 neuron,0
sensory neuron,input neuron,1
single nucleate cell,mature alpha-beta t cell,0
single nucleate cell,mature alpha-beta t-cell,0
single nucleate cell,mononuclear cell,0
single nucleate cell,mononuclear leukocyte,0
single nucleate cell,peripheral blood mononuclear cell,0
single nucleate cell,plasmacytoid monocyte,0
single nucleate cell,smooth muscle cell,0
skin keratinocyte,epidermal keratinocyte,1
skin keratinocyte,keratincyte of epidermis,0
smooth muscle cell,myocytes smooth muscle,0
smooth muscle cell,smcs,0
smooth muscle cell,smooth muscle cell of bladder,0
smooth muscle cell,smooth muscle fiber,1
smooth muscle cell,visceral muscle cell,0
smooth muscle fiber,myocytes smooth muscle,0
smooth muscle fiber,smooth muscle cell,1
smooth muscle fiber,smooth muscle cell of bladder,0
smooth muscle fiber,visceral muscle cell,0
squamous epithelial cell,epithelial cell of stratum corneum of esophageal epithelium,0
stem cell,adult endothelial progenitor cell,0
stem cell,angioblast,0
stem cell,angioblastic mesenchymal cell,0
stem cell,animal stem cell,0
stem cell,apc,0
stem cell,bmsc,0
stem cell,bone marrow stromal cells,0
stem cell,cfu-f,0
stem cell,circulating angiogenic cell,0
stem cell,colony-forming unit-fibroblast,0
stem cell,epc,0
stem cell,hematopoietic cell,0
stem cell,marrow stromal cells,0
stem cell,mesenchymal precursor cell,0
stem cell,mesenchymal progenitor cells,0
stem cell,mesenchymal stem cell,0
stem cell,mesenchymal stromal cell,0
stem cell,mesenchymal stromal cells,0
stem cell,msc,0
stem cell,multi fate stem cell,0
stem cell,multi-fate stem cell,0
stem cell,multifate stem cell,0
stem cell,multipotent cell,1
stem cell,multipotent stem cell,0
stem cell,nephrogenic mesenchyme stem cell,0
stem cell,neural stem cell,0
stem cell,neuronal stem cell,0
stem cell,nsc,0
stem cell,smcs,0
stem cell,stem cells mesenchymal,0
stem cells mesenchymal,bmsc,0
stem cells mesenchymal,bone marrow stromal cells,0
stem cells mesenchymal,cfu-f,0
stem cells mesenchymal,colony-forming unit-fibroblast,0
stem cells mesenchymal,marrow stromal cells,0
stem cells mesenchymal,mesenchymal precursor cell,1
stem cells mesenchymal,mesenchymal progenitor cells,1
stem cells mesenchymal,mesenchymal stem cell,1
stem cells mesenchymal,mesenchymal stromal cell,1
stem cells mesenchymal,mesenchymal stromal cells,1
stem cells mesenchymal,msc,1
stem cells mesenchymal,nephrogenic mesenchyme stem cell,0
stratified epithelial cell,epidermal keratinocyte,0
stratified epithelial cell,epithelial cell of stratum corneum of esophageal epithelium,0
stuff accumulating cell,epidermal keratinocyte,0
stuff accumulating cell,keratin accumulating cell,0
stuff accumulating cell,keratinocyte,0
t cell,alpha-beta t cell,0
t cell,alpha-beta t lymphocyte,0
t cell,alpha-beta t-cell,0
t cell,alpha-beta t-lymphocyte,0
t cell,cd3e-positive t cell,0
t cell,cd3epsilon t cell,0
t cell,immature t cell,0
t cell,mature alpha-beta t cell,0
t cell,mature alpha-beta t lymphocyte,0
t cell,mature alpha-beta t-cell,0
t cell,mature alpha-beta t-lymphocyte,0
t cell,mature t-cell,0
t cell,plasmacytoid t cell,0
t cell,t lymphocyte,1
t cell,t-cell,1
t cell,t-lymphocyte,1
t lymphocyte,alpha-beta t cell,0
